,TopMatch1,TopMatch2,TopMatch3,TopMatch4,TopMatch5
Herpes simplex virus 1 infection,"('glutathione degradation (DUG pathway)', 0.34045512478653267)","('<i>Escherichia coli</i> serotype O:2 O antigen biosynthesis', 0.3191300120328792)","('<i>Escherichia coli</i> serotype O:7 O antigen biosynthesis', 0.3092814386744538)","('6-hydroxymethyl-dihydropterin diphosphate biosynthesis III (Chlamydia)', 0.30592574572367887)","('<i>Escherichia coli</i> serotype O:50 O antigen biosynthesis', 0.303252397761845)"
Human cytomegalovirus infection,"('biosynthesis of Lewis epitopes (H. pylori)', 0.3419792676997697)","('TCA cycle VIII (Chlamydia)', 0.3151937720494554)","('6-hydroxymethyl-dihydropterin diphosphate biosynthesis III (Chlamydia)', 0.30693258973848286)","('<i>Salmonella enterica</i> serotype O:39 O antigen biosynthesis', 0.2830636129222475)","('<i>Salmonella enterica</i> serotype O:2 O antigen biosynthesis', 0.2819120859716709)"
Kaposi sarcoma-associated herpesvirus infection,"('glutathione degradation (DUG pathway)', 0.26221661377363337)","('nopaline degradation', 0.2023240676854945)","('arsenite to oxygen electron transfer', 0.18649117350156835)","('Arg/N-end rule pathway (eukaryotic)', 0.18268007704406317)","('6-hydroxymethyl-dihydropterin diphosphate biosynthesis IV (Plasmodium)', 0.1796672377981951)"
Epstein-Barr virus infection,"('glutathione degradation (DUG pathway)', 0.376699820185393)","('<i>Escherichia coli</i> serotype O:2 O antigen biosynthesis', 0.35927120333281687)","('<i>Escherichia coli</i> serotype O:85/<i>Salmonella enterica</i> serotype O:17 O antigen biosynthesis', 0.3414405096207965)","('<i>Salmonella enterica</i> serotype O:2 O antigen biosynthesis', 0.34020863157032005)","('i antigen and I antigen biosynthesis', 0.3333031555233612)"
Human papillomavirus infection,"('L-cysteine biosynthesis IX (Trichomonas vaginalis)', 0.29963113618974724)","('biosynthesis of Lewis epitopes (H. pylori)', 0.29836417627987544)","('TCA cycle VIII (Chlamydia)', 0.28897796598049613)","('i antigen and I antigen biosynthesis', 0.27514854793852545)","('TCA cycle VI (Helicobacter)', 0.26206503570594425)"
Vibrio cholerae infection,"('Kdo-lipid A biosynthesis (<i>Vibrio cholerae</i> serogroup O1 El Tor)', 0.676371838091139)","('<i>Escherichia coli</i> serotype O:149/<i>Shigella boydii</i> serotype O1 O antigen biosynthesis', 0.5378407052174108)","('<i>Salmonella enterica</i> serotype O:8 O antigen biosynthesis', 0.5360456062290369)","('<i>Salmonella enterica</i> serotype O:9 O antigen biosynthesis', 0.5360456062290369)","('<i>Salmonella enterica</i> serotype O:6,7 O antigen biosynthesis', 0.533515259762547)"
Epithelial cell signaling in Helicobacter pylori infection,"('biosynthesis of Lewis epitopes (H. pylori)', 0.6854218486680025)","('<i>H. pylori</i> 26695 O-antigen biosynthesis', 0.5363064170390792)","('<i>Helicobacter pylori</i> 26695 lipopolysaccharide biosynthesis (final steps)', 0.5273705750370257)","('TCA cycle VI (Helicobacter)', 0.5249444169686529)","('L-cysteine biosynthesis IX (Trichomonas vaginalis)', 0.3884308636180589)"
Pathogenic Escherichia coli infection,"('thiamine diphosphate biosynthesis I (E. coli)', 0.6155524802396051)","('<i>Escherichia coli</i> serotype O:50 O antigen biosynthesis', 0.6132531947698483)","('<i>Escherichia coli</i> serotype O:8 O antigen biosynthesis', 0.6132531947698483)","('<i>Escherichia coli</i> serotype O:9 O antigen biosynthesis', 0.6132531947698483)","('<i>Escherichia coli</i> serotype O:51/<i>Salmonella enterica</i> serotype O:57 O antigen biosynthesis', 0.6013852705077376)"
Salmonella infection,"('<i>Salmonella enterica</i> serotype O:6,7 O antigen biosynthesis', 0.6221514063449647)","('<i>Salmonella enterica</i> serotype O:8 O antigen biosynthesis', 0.6152002159405384)","('<i>Salmonella enterica</i> serotype O:9 O antigen biosynthesis', 0.6152002159405384)","('<i>Salmonella enterica</i> serotype O:39 O antigen biosynthesis', 0.6116717699919961)","('<i>Salmonella enterica</i> serotype O:13 O antigen biosynthesis', 0.6049414893799452)"
Shigellosis,"('<i>Salmonella enterica</i> serotype O:6,7 O antigen biosynthesis', 0.37415920896719357)","('<i>Escherichia coli</i> serotype O:55/<i>Salmonella enterica</i> serotype O:50 O antigen biosynthesis', 0.36286511083130535)","('<i>Salmonella enterica</i> serotype O:8 O antigen biosynthesis', 0.3623520951362504)","('<i>Salmonella enterica</i> serotype O:9 O antigen biosynthesis', 0.3623520951362504)","('<i>Escherichia coli</i> serotype O:111/<i>Salmonella enterica</i> serotype O:35 O antigen biosynthesis', 0.3560368146388575)"
Yersinia infection,"('<i>Salmonella enterica</i> serotype O:8 O antigen biosynthesis', 0.5383804040091357)","('<i>Salmonella enterica</i> serotype O:9 O antigen biosynthesis', 0.5383804040091357)","('<i>Escherichia coli</i> serotype O:55/<i>Salmonella enterica</i> serotype O:50 O antigen biosynthesis', 0.515963254964787)","('<i>Escherichia coli</i> serotype O:50 O antigen biosynthesis', 0.5025467793937437)","('<i>Escherichia coli</i> serotype O:8 O antigen biosynthesis', 0.5025467793937437)"
Pertussis,"('T-2 toxin biosynthesis', 0.526084313758133)","('<i>Salmonella enterica</i> serotype O:54 O antigen biosynthesis', 0.3188912087961796)","('<i>Salmonella enterica</i> serotype O:8 O antigen biosynthesis', 0.31517669437035634)","('<i>Salmonella enterica</i> serotype O:9 O antigen biosynthesis', 0.31517669437035634)","('Kdo-lipid A biosynthesis (<i>Vibrio cholerae</i> serogroup O1 El Tor)', 0.3135154369646773)"
Legionellosis,"('<i>Salmonella enterica</i> serotype O:8 O antigen biosynthesis', 0.34563949136612837)","('<i>Salmonella enterica</i> serotype O:9 O antigen biosynthesis', 0.34563949136612837)","('<i>Escherichia coli</i> serotype O:55/<i>Salmonella enterica</i> serotype O:50 O antigen biosynthesis', 0.337825583286335)","('<i>Salmonella enterica</i> serotype O:6,7 O antigen biosynthesis', 0.33014773491350485)","('<i>Salmonella enterica</i> serotype O:13 O antigen biosynthesis', 0.3236106130738501)"
Staphylococcus aureus infection,"('peptidoglycan biosynthesis II (staphylococci)', 0.5316122686534355)","('mupirocin biosynthesis', 0.5133952201278494)","('linezolid resistance', 0.5063933068323324)","('<i>Escherichia coli</i> serotype O:51/<i>Salmonella enterica</i> serotype O:57 O antigen biosynthesis', 0.5061375476251639)","('<i>Salmonella enterica</i> serotype O:6,7 O antigen biosynthesis', 0.5032534023323287)"
Tuberculosis,"('isoniazid activation', 0.16272450205175568)","('rosamicin biosynthesis', 0.13833185861015668)","('streptomycin biosynthesis', 0.13185298834694897)","('tetracycline and oxytetracycline biosynthesis', 0.12451942813377531)","('pyrroloquinoline quinone biosynthesis', 0.12402547265834611)"
Bacterial invasion of epithelial cells,"('bacterial bioluminescence', 0.4297502417204576)","('peptido-conjugates in tissue regeneration biosynthesis', 0.4075979893200526)","('arsenite methylation (bacterial)', 0.38873810072155474)","('fungal bioluminescence', 0.3750220966256823)","('icosapentaenoate biosynthesis IV (bacteria)', 0.36414589489042043)"
Amoebiasis,"('ecdysteroid metabolism (arthropods)', 0.25075746689565936)","('<i>Salmonella enterica</i> serotype O:39 O antigen biosynthesis', 0.2383041460299834)","('<i>Salmonella enterica</i> serotype O:13 O antigen biosynthesis', 0.2321179794543155)","('<i>Salmonella enterica</i> serotype O:6,7 O antigen biosynthesis', 0.2318522879082134)","('<i>Salmonella enterica</i> serotype O:8 O antigen biosynthesis', 0.22795811473994457)"
Malari,"('(+)-camphor biosynthesis', 0.0)","('(+)-pisatin biosynthesis', 0.0)","('(+)-secoisolariciresinol diglucoside biosynthesis', 0.0)","(""(-)-4'-demethyl-epipodophyllotoxin biosynthesis"", 0.0)","('(-)-camphor biosynthesis', 0.0)"
Toxoplasmosis,"('TCA cycle VIII (Chlamydia)', 0.19532856294896125)","('isoniazid activation', 0.19444539294988983)","('fungal bioluminescence', 0.19134990612289332)","('6-hydroxymethyl-dihydropterin diphosphate biosynthesis IV (Plasmodium)', 0.1905807910602205)","('mycobacterial sulfolipid biosynthesis', 0.1791525542873575)"
Leishmaniasis,"('6-hydroxymethyl-dihydropterin diphosphate biosynthesis IV (Plasmodium)', 0.20459011658760082)","('mycobacterial sulfolipid biosynthesis', 0.17814841409928514)","('rhabduscin biosynthesis', 0.1480114248715575)","('paromomycin biosynthesis', 0.13886320007452632)","('trypanothione biosynthesis', 0.1348734343237128)"
Chagas disease,"('6-hydroxymethyl-dihydropterin diphosphate biosynthesis IV (Plasmodium)', 0.16434177049683824)","('rhabduscin biosynthesis', 0.14893395459586187)","('biosynthesis of Lewis epitopes (H. pylori)', 0.14832569249747707)","('fungal bioluminescence', 0.144162606016927)","(""myxol-2' fucoside biosynthesis"", 0.13739737558942366)"
African trypanosomiasis,"('6-hydroxymethyl-dihydropterin diphosphate biosynthesis IV (Plasmodium)', 0.21474057288426462)","('nitric oxide biosynthesis II (mammals)', 0.19369192435386717)","('ecdysteroid metabolism (arthropods)', 0.1899126867506145)","('nitric oxide biosynthesis III (bacteria)', 0.1717157994943856)","('nitric oxide biosynthesis I (plants)', 0.16529509060342631)"
Asthm,"('sulfide oxidation II (flavocytochrome <em>c</em>)', 0.2929447331478046)","('&alpha;-dystroglycan glycosylation', 0.2802351064049195)","('queuosine biosynthesis I (<i>de novo</i>)', 0.2711150160576019)","('lipid IV<sub>A</sub> biosynthesis (<i>Vibrio cholerae</i> serogroup O1 El Tor)', 0.2671052720680851)","('dTMP <i>de novo</i> biosynthesis (mitochondrial)', 0.2648931876699264)"
Systemic lupus erythematosus,"('cyclosporin A biosynthesis', 0.2642234377050375)","('glucocorticoid biosynthesis', 0.21375566172906724)","('enterobacterial common antigen biosynthesis', 0.19071232748575587)","('blood coagulation - tissue factor pathway', 0.17805445080612314)","('ibotenate and muscimol biosynthesis', 0.17268831862761683)"
Rheumatoid arthritis,"('juvenile hormone III biosynthesis II', 0.2073371152518547)","('juvenile hormone III biosynthesis I', 0.2033716173940269)","('carrageenan biosynthesis', 0.1955759561032519)","('<i>Helicobacter pylori</i> 26695 lipopolysaccharide biosynthesis (final steps)', 0.18970614101197544)","('rosamicin biosynthesis', 0.1725787375996111)"
Autoimmune thyroid disease,"('thyroid hormone biosynthesis', 0.4511860616179511)","('thyroid hormone metabolism I (via deiodination)', 0.38261156104983207)","('thyroid hormone metabolism II (via conjugation and/or degradation)', 0.28202820441600196)","('juvenile hormone III biosynthesis I', 0.27856462318179687)","('juvenile hormone III biosynthesis II', 0.2686130633455467)"
Inflammatory bowel disease,"('representative whole plasma DHA-derived icosanoids', 0.2434077767204453)","('representative whole plasma EPA-derived icosanoids', 0.2434077767204453)","('representative whole plasma arachidonate-derived icosanoids II', 0.22135618760631318)","('representative whole plasma arachidonate-derived icosanoids I', 0.21753957040444713)","('Bifidobacterium shunt', 0.20852001790576502)"
Allograft rejection,"('3-(imidazol-5-yl)lactate salvage', 0.350427177049706)","('adenine salvage', 0.21833857196470247)","('purine deoxyribonucleosides salvage', 0.21115378480328298)","('pyrimidine nucleobases salvage II', 0.20029870646283732)","('peptido-conjugates in tissue regeneration biosynthesis', 0.1949083224081975)"
Graft-versus-host disease,"('lipoate salvage II', 0.18365965184321492)","('3-(imidazol-5-yl)lactate salvage', 0.1828787062210144)","('L-dopa degradation II (bacterial)', 0.18025278232627875)","('Bifidobacterium shunt', 0.16751972831997086)","('lipoate salvage I', 0.16542001955210806)"
Primary immunodeficiency,"('glutathione degradation (DUG pathway)', 0.21195345207273072)","('TCA cycle VIII (Chlamydia)', 0.20406872507652737)","('6-hydroxymethyl-dihydropterin diphosphate biosynthesis III (Chlamydia)', 0.17801632576591622)","('ABH and Lewis epitopes biosynthesis from type 2 precursor disaccharide', 0.16142246095232113)","('methylglyoxal degradation VII', 0.16132471190183945)"
Alzheimer disease,"('L-dopa degradation II (bacterial)', 0.1634630780064592)","('dopamine degradation', 0.15925428699781916)","('L-dopa degradation I (mammalian)', 0.1479154599179357)","('hydrogen production IV', 0.14494341371898986)","('D-apionate degradation II (RLP decarboxylase)', 0.1442842637966803)"
Parkinson disease,"('dopamine degradation', 0.19295310030303264)","('L-dopa degradation I (mammalian)', 0.1746872525513278)","('L-dopa degradation II (bacterial)', 0.1710981809409296)","('NADH to hydrogen peroxide electron transfer', 0.15087331735729156)","('noscapine biosynthesis', 0.1438037812082943)"
Amyotrophic lateral sclerosis,"('nitrate reduction VIIIb (dissimilatory)', 0.1396009098228452)","('GABA shunt II', 0.11970704734852458)","('glutathione amide metabolism', 0.11547526667748226)","('phosphatidylglycerol biosynthesis II', 0.10023967043287986)","('GABA shunt I', 0.09774084645648097)"
Huntington disease,"('dopamine degradation', 0.1432645486317551)","('NADH to hydrogen peroxide electron transfer', 0.13564654936506804)","('L-dopa degradation I (mammalian)', 0.13436047147125119)","('L-dopa degradation II (bacterial)', 0.13431109903935554)","('glycerol-3-phosphate to hydrogen peroxide electron transport', 0.1233428487630985)"
Spinocerebellar ataxi,"('GABA shunt II', 0.2642869779361214)","('GABA shunt I', 0.2624225568614882)","('L-glutamate degradation X', 0.2287063627207055)","('TCA cycle VI (Helicobacter)', 0.2004309863604455)","('choline degradation IV', 0.1994919343634605)"
Prion disease,"('protein Pupylation and dePupylation', 0.22854372918570168)","('thiosulfate oxidation IV (multienzyme complex)', 0.15750358265976722)","('protein SAMPylation and SAMP-mediated thiolation', 0.14539805541242226)","('thiosulfate oxidation III (multienzyme complex)', 0.12598377770390554)","('tetracycline resistance', 0.124767987552816)"
Pathways of neurodegeneration - multiple diseases,"('blood coagulation - tissue factor pathway', 0.3818892795449013)","('phosphatidate metabolism, as a signaling molecule', 0.38077901479060716)","('mevalonate pathway I (eukaryotes and bacteria)', 0.380029820746729)","('protein Pupylation and dePupylation', 0.37338837946849956)","('superpathway of mycolyl-arabinogalactan-peptidoglycan complex biosynthesis', 0.3679649697076933)"
Cocaine addiction,"('cocaine biosynthesis', 0.5579183931616168)","('psilocybin biosynthesis', 0.504692122771961)","('(-)-dehydrodiconiferyl alcohol degradation', 0.44461745710915174)","('bupropion degradation', 0.4205166691205324)","('nicotine biosynthesis', 0.413381335672413)"
Amphetamine addiction,"('cocaine biosynthesis', 0.5579183931616168)","('psilocybin biosynthesis', 0.504692122771961)","('(-)-dehydrodiconiferyl alcohol degradation', 0.44461745710915174)","('bupropion degradation', 0.4205166691205324)","('nicotine biosynthesis', 0.413381335672413)"
Morphine addiction,"('cocaine biosynthesis', 0.528290121488731)","('psilocybin biosynthesis', 0.5268637107176459)","('morphine biosynthesis', 0.5091543760000322)","('superpathway of hyoscyamine (atropine) and scopolamine biosynthesis', 0.45674914223771806)","('D-cycloserine biosynthesis', 0.45358354205074725)"
Nicotine addiction,"('cocaine biosynthesis', 0.5184150603456757)","('nicotine biosynthesis', 0.5041561909889355)","('(-)-dehydrodiconiferyl alcohol degradation', 0.4711533080859738)","('psilocybin biosynthesis', 0.46874781954986217)","('bupropion degradation', 0.4585404485214717)"
Alcoholism,"('valproate &beta;-oxidation', 0.22586355827060373)","('(-)-dehydrodiconiferyl alcohol degradation', 0.19286723280140794)","('polyvinyl alcohol degradation', 0.18934322131202072)","('cocaine biosynthesis', 0.1817496458258919)","('&alpha;-cyclopiazonate detoxification', 0.17576755750040737)"
Lipid and atherosclerosis,"('cholesterol biosynthesis III (via desmosterol)', 0.49151701159569194)","('cholesterol biosynthesis II (via 24,25-dihydrolanosterol)', 0.4609269940076109)","('superpathway of cholesterol degradation I (cholesterol oxidase)', 0.46061225559689584)","('fructosyllysine and glucosyllysine metabolism', 0.4604531278360527)","('cholesterol biosynthesis I', 0.45741754452883343)"
Fluid shear stress and atherosclerosis,"('glucose degradation (oxidative)', 0.4663353043362561)","('blood coagulation - tissue factor pathway', 0.3558510116001532)","('uracil degradation II (oxidative)', 0.323198262105502)","('nitroglycerin degradation', 0.3105488227284238)","('pentose phosphate pathway (oxidative branch) II', 0.30357415617632927)"
Hypertrophic cardiomyopathy,"('Rapoport-Luebering glycolytic shunt', 0.18208157902856809)","('glutaryl-CoA degradation', 0.15973368535418758)","('L-arginine degradation II (AST pathway)', 0.15812350693856098)","('juvenile hormone III biosynthesis I', 0.15404251371916394)","('TCA cycle VI (Helicobacter)', 0.1531973254427893)"
Arrhythmogenic right ventricular cardiomyopathy,"('ajmaline and sarpagine biosynthesis', 0.25524755383929193)","('GABA shunt I', 0.24417311132252184)","('GABA shunt II', 0.2434276499529123)","('Rapoport-Luebering glycolytic shunt', 0.23256169786621586)","('Entner-Doudoroff shunt', 0.23177599915646316)"
Dilated cardiomyopathy,"('Entner-Doudoroff shunt', 0.22842438717414318)","('Rapoport-Luebering glycolytic shunt', 0.20808640528815542)","('GABA shunt II', 0.20443429984047612)","('Bifidobacterium shunt', 0.1948092685486115)","('GABA shunt I', 0.18277215105910086)"
Diabetic cardiomyopathy,"('streptozotocin biosynthesis', 0.2703944838638215)","('L-arginine degradation II (AST pathway)', 0.205115825933178)","('gluconeogenesis III', 0.1991406505627042)","('L-carnitine degradation III', 0.1870489702319774)","('aspartate superpathway', 0.18683958095845218)"
Viral myocarditis,"('glutathione degradation (DUG pathway)', 0.21127007148674226)","('fungal bioluminescence', 0.20695279815338144)","('bacterial bioluminescence', 0.20477257531544993)","('nopaline degradation', 0.18700860218491383)","('protein Pupylation and dePupylation', 0.18065190525861477)"
Type II diabetes mellitus,"('rhamnogalacturonan type I degradation I', 0.4939974119665329)","('rhamnogalacturonan type I degradation II (bacteria)', 0.47458761566356544)","('juvenile hormone III biosynthesis II', 0.46206513248244946)","('gluconeogenesis III', 0.4577642248414604)","('juvenile hormone III biosynthesis I', 0.4550159169075541)"
Type I diabetes mellitus,"('rhamnogalacturonan type I degradation I', 0.532948926576716)","('gluconeogenesis I', 0.4786693554977645)","('rhamnogalacturonan type I degradation II (bacteria)', 0.47701775227541865)","('<I>myo</I>-inositol degradation I', 0.45958891743225533)","('<I>myo</I>-inositol degradation II', 0.4578842234719645)"
Maturity onset diabetes of the young,"('the visual cycle I (vertebrates)', 0.2908944033912872)","('the visual cycle (insects)', 0.2701889551053363)","('the visual cycle II (molluscs)', 0.2647736939124282)","('fatty acid biosynthesis initiation (type II)', 0.2627237248778371)","('cob(II)yrinate <i>a,c</i>-diamide biosynthesis I (early cobalt insertion)', 0.26106301088103834)"
Alcoholic liver disease,"('ketogenesis', 0.28117104484116406)","('gluconeogenesis I', 0.26293908683868633)","('glutathione-mediated detoxification I', 0.25978586538258536)","('gluconeogenesis III', 0.25734690217829465)","('(-)-dehydrodiconiferyl alcohol degradation', 0.2552136183910818)"
Non-alcoholic fatty liver disease,"('long-chain fatty acid activation', 0.6217355461776116)","('3-methyl-branched fatty acid &alpha;-oxidation', 0.6056686871301298)","('fatty acid salvage', 0.5900942799052163)","('2-methyl-branched fatty acid &beta;-oxidation', 0.5864954415568785)","('fatty acid elongation -- saturated', 0.5792296119264282)"
Insulin resistance,"('tetracycline resistance', 0.6375392233992687)","('linezolid resistance', 0.5765445683780555)","('vancomycin resistance II', 0.5755089688902887)","('polymyxin resistance', 0.5639571908685476)","('triclosan resistance', 0.5636515373876033)"
AGE-RAGE signaling pathway in diabetic complications,"('phosphatidate metabolism, as a signaling molecule', 0.6003261943081719)","('Ac/N-end rule pathway', 0.554381205395268)","('blood coagulation - tissue factor pathway', 0.5075091073365593)","('backdoor pathway of androgen biosynthesis', 0.506198487635521)","('phytol salvage pathway', 0.4928900458821363)"
Cushing syndrome,"('thyroid hormone biosynthesis', 0.2626088456342383)","('mineralocorticoid biosynthesis', 0.23584308849302724)","('thyroid hormone metabolism I (via deiodination)', 0.22184596825584013)","('superpathway of steroid hormone biosynthesis', 0.19779390453390414)","('glucocorticoid biosynthesis', 0.18721952514865764)"
beta-Lactam resistance,"('linezolid resistance', 0.8401147468711092)","('tetracycline resistance', 0.8377931348918954)","('vancomycin resistance II', 0.7911618373248601)","('vancomycin resistance I', 0.7790548962148982)","('methymycin, neomethymycin and novamethymycin biosynthesis', 0.7663034126845062)"
Vancomycin resistance,"('linezolid resistance', 0.9025002715911375)","('tetracycline resistance', 0.8570459737015763)","('vancomycin resistance II', 0.8162215409787249)","('vancomycin resistance I', 0.8095154030833381)","('triclosan resistance', 0.7615119761293678)"
Cationic antimicrobial peptide (CAMP) resistance,"('polymyxin resistance', 0.5811803479019909)","('FR-900098 and FR-33289 antibiotics biosynthesis', 0.5692455126919694)","('triclosan resistance', 0.5674320645131115)","('tetracycline resistance', 0.5577976472848174)","('peptidoglycan biosynthesis V (&beta;-lactam resistance)', 0.5514014370826582)"
EGFR tyrosine kinase inhibitor resistance,"('3-phosphoinositide degradation', 0.7261766438919904)","('CMP phosphorylation', 0.6887967376553414)","('NAD phosphorylation and dephosphorylation', 0.683550506231302)","('3-phosphoinositide biosynthesis', 0.6733720278615113)","('ribose phosphorylation', 0.5601697083461072)"
Platinum drug resistance,"('vancomycin resistance II', 0.5688123476491557)","('linezolid resistance', 0.5465885452976715)","('triclosan resistance', 0.5462866797876025)","('vancomycin resistance I', 0.5384026387191014)","('tetracycline resistance', 0.531037743264488)"
Antifolate resistance,"('linezolid resistance', 0.6998740331897958)","('triclosan resistance', 0.682678040101306)","('tetracycline resistance', 0.6822436208773346)","('vancomycin resistance II', 0.6436523954507737)","('polymyxin resistance', 0.6122602188253984)"
Endocrine resistance,"('linezolid resistance', 0.4615426761195436)","('tetracycline resistance', 0.45654532076529397)","('triclosan resistance', 0.43397536034095013)","('vancomycin resistance II', 0.4095406659834704)","('thyroid hormone biosynthesis', 0.40117486814599257)"
Penicillins,"('sulfazecin biosynthesis', 0.736334369268388)","('superpathway of penicillin, cephalosporin and cephamycin biosynthesis', 0.6997702782497267)","('clavulanate biosynthesis', 0.6866206838827121)","('rosamicin biosynthesis', 0.6678610719324529)","('linezolid resistance', 0.6669496668862717)"
Cephalosporins - parenteral agents,"('superpathway of penicillin, cephalosporin and cephamycin biosynthesis', 0.6691820786285425)","('linezolid resistance', 0.6496459478693435)","('sulfazecin biosynthesis', 0.598069763650979)","('clavulanate biosynthesis', 0.5874631342019582)","('methymycin, neomethymycin and novamethymycin biosynthesis', 0.5855795107654093)"
Cephalosporins - oral agents,"('superpathway of penicillin, cephalosporin and cephamycin biosynthesis', 0.6753730816242678)","('linezolid resistance', 0.6599246947450433)","('vancomycin resistance I', 0.6054205262651304)","('vancomycin resistance II', 0.5945762695093753)","('tetracycline resistance', 0.5900107000532887)"
Aminoglycosides,"('linezolid resistance', 0.8083298668444034)","('tetracycline resistance', 0.758043833654669)","('vancomycin resistance II', 0.7217002771194946)","('vancomycin resistance I', 0.7106859214814433)","('clavulanate biosynthesis', 0.7106741372440372)"
Tetracyclines,"('kauralexin biosynthesis', 0.3492902615745288)","('podophyllotoxin glucosides metabolism', 0.2940138734761861)","('sibiromycin biosynthesis', 0.275637177584263)","('ajmaline and sarpagine biosynthesis', 0.2347828667142177)","('ellagic acid degradation to urolithins', 0.22491397740567767)"
Macrolides and ketolides,"('methymycin, neomethymycin and novamethymycin biosynthesis', 0.7707050664882926)","('linezolid resistance', 0.7415209427430067)","('sulfazecin biosynthesis', 0.7199965505822811)","('superpathway of penicillin, cephalosporin and cephamycin biosynthesis', 0.7044078679709416)","('tetracycline resistance', 0.6970096895409272)"
Quinolones,"('linezolid resistance', 0.777926303903926)","('sulfazecin biosynthesis', 0.7145435334440311)","('tetracycline resistance', 0.6920674628803739)","('superpathway of penicillin, cephalosporin and cephamycin biosynthesis', 0.6828497717601052)","('vancomycin resistance II', 0.674045069661175)"
Rifamycins,"('linezolid resistance', 0.777926303903926)","('sulfazecin biosynthesis', 0.7145435334440311)","('tetracycline resistance', 0.6920674628803739)","('superpathway of penicillin, cephalosporin and cephamycin biosynthesis', 0.6828497717601052)","('vancomycin resistance II', 0.674045069661175)"
Antifungal agents,"('podophyllotoxin glucosides metabolism', 0.4934623278054641)","('sulfazecin biosynthesis', 0.4857610784905639)","('FR-900098 and FR-33289 antibiotics biosynthesis', 0.48463365794680746)","('methymycin, neomethymycin and novamethymycin biosynthesis', 0.48405540638007233)","('sibiromycin biosynthesis', 0.4819519155069128)"
Antiviral agents,"('sibiromycin biosynthesis', 0.41999875965297423)","('podophyllotoxin glucosides metabolism', 0.41436406073269066)","('linezolid resistance', 0.3758562291365257)","('FR-900098 and FR-33289 antibiotics biosynthesis', 0.36179086025866225)","('echinocandin B degradation', 0.36103732855089843)"
Anti-HIV agents,"('sibiromycin biosynthesis', 0.41999875965297423)","('podophyllotoxin glucosides metabolism', 0.41436406073269066)","('linezolid resistance', 0.3758562291365257)","('FR-900098 and FR-33289 antibiotics biosynthesis', 0.36179086025866225)","('echinocandin B degradation', 0.36103732855089843)"
Antineoplastics - alkylating agents,"('sibiromycin biosynthesis', 0.49913468663034133)","('podophyllotoxin glucosides metabolism', 0.4786907378050982)","('vindoline, vindorosine and vinblastine biosynthesis', 0.42767787433082205)","('FR-900098 and FR-33289 antibiotics biosynthesis', 0.42683995676160136)","('methanesulfonate degradation', 0.4263645063807036)"
Antineoplastics - antimetabolic agents,"('podophyllotoxin glucosides metabolism', 0.5003686219817566)","('sibiromycin biosynthesis', 0.4945095192129732)","('FR-900098 and FR-33289 antibiotics biosynthesis', 0.387928178327297)","('echinocandin B degradation', 0.37618999914150997)","('artemisinin and arteannuin B biosynthesis', 0.3664533080633551)"
Antineoplastics - agents from natural products,"('superpathway of Allium flavor precursors', 0.42278869532367175)","('arsenic detoxification (bacteria)', 0.42138320467049006)","('aromatic compounds degradation via &beta;-ketoadipate', 0.415461720179789)","('arsenic detoxification (plants)', 0.41489239021590135)","('artemisinin and arteannuin B biosynthesis', 0.40954342864550847)"
Antineoplastics - hormones,"('thyroid hormone biosynthesis', 0.44578779496681015)","('superpathway of steroid hormone biosynthesis', 0.4130685167038496)","('thyroid hormone metabolism I (via deiodination)', 0.4104582442827964)","('ecdysteroid metabolism (arthropods)', 0.3896888759552587)","('juvenile hormone III biosynthesis I', 0.375908896445927)"
Antineoplastics - protein kinase inhibitors,"('3-phosphoinositide degradation', 0.6031593734030096)","('CMP phosphorylation', 0.5834988448223086)","('NAD phosphorylation and dephosphorylation', 0.5805671675700397)","('acyl-[acyl-carrier protein] thioesterase pathway', 0.5770119712324407)","('3-phosphoinositide biosynthesis', 0.5443310058375821)"
Hypnotics,"('bupropion degradation', 0.4683943849395563)","('D-cycloserine biosynthesis', 0.44390612683253183)","('chlorzoxazone degradation', 0.3763499507333506)","('psilocybin biosynthesis', 0.37422802115631415)","('superpathway of hyoscyamine (atropine) and scopolamine biosynthesis', 0.36440458472099824)"
Anxiolytics,"('D-cycloserine biosynthesis', 0.51352942105266)","('bupropion degradation', 0.4897036871751262)","('valproate &beta;-oxidation', 0.43393213788085766)","('psilocybin biosynthesis', 0.43228012689347667)","('cocaine biosynthesis', 0.388384313536376)"
Anticonvulsants,"('D-cycloserine biosynthesis', 0.40608240577905796)","('bupropion degradation', 0.37178422188030785)","('serotonin degradation', 0.33426044240028646)","('serotonin and melatonin biosynthesis', 0.3263714829556513)","('psilocybin biosynthesis', 0.3117740958865281)"
Local analgesics,"('morphine biosynthesis', 0.3523960456096942)","('superpathway of hyoscyamine (atropine) and scopolamine biosynthesis', 0.3356786897579563)","('valproate &beta;-oxidation', 0.317249632849631)","('ephedrine biosynthesis', 0.3167593554269389)","('ergotamine biosynthesis', 0.2957490932888218)"
Opioid analgesics,"('morphine biosynthesis', 0.4128240634984391)","('psilocybin biosynthesis', 0.37230563366145253)","('valproate &beta;-oxidation', 0.36536563216217444)","('D-cycloserine biosynthesis', 0.36122942725579515)","('bupropion degradation', 0.34660282771480333)"
