,TopMatch1,TopMatch2,TopMatch3,TopMatch4,TopMatch5
Pancreatic secretion,"('creatinine degradation I', 0.59)","('arsonoacetate degradation', 0.58)","('creatinine degradation II', 0.58)","('acrylate degradation I', 0.57)","('creatinine degradation III', 0.57)"
Bile secretion,"('aniline degradation', 0.61)","('bile acids deconjugation', 0.58)","('bile acids epimerization', 0.58)","('carbazole degradation', 0.57)","('creatine biosynthesis', 0.57)"
Carbohydrate digestion and absorption,"('iron reduction and absorption', 0.61)","('NAD phosphorylation and transhydrogenation', 0.53)","('(5<i>R</i>)-carbapenem carboxylate biosynthesis', 0.5)","('mannopine and agropine biosynthesis', 0.5)","('4-coumarate degradation (anaerobic)', 0.49)"
Protein digestion and absorption,"('iron reduction and absorption', 0.66)","('amygdalin and prunasin degradation', 0.58)","('acyl carrier protein activation', 0.57)","('noradrenaline and adrenaline degradation', 0.56)","('protectin biosynthesis', 0.56)"
Fat digestion and absorption,"('iron reduction and absorption', 0.7)","('isethionate degradation', 0.55)","('ethanedisulfonate degradation', 0.53)","('amygdalin and prunasin degradation', 0.52)","('mannopine and agropine biosynthesis', 0.51)"
Cholesterol metabolism,"('coniferin metabolism', 0.71)","('alliin metabolism', 0.67)","('baicalein metabolism', 0.67)","('gossypetin metabolism', 0.65)","('ketogluconate metabolism', 0.65)"
Vitamin digestion and absorption,"('iron reduction and absorption', 0.66)","('amygdalin and prunasin degradation', 0.55)","('noradrenaline and adrenaline degradation', 0.53)","('vitamin K degradation', 0.53)","('ethionamide activation', 0.52)"
Mineral absorption,"('iron reduction and absorption', 0.6)","('marneral biosynthesis', 0.56)","('carbon tetrachloride degradation I', 0.54)","('thymine degradation', 0.54)","('carbon tetrachloride degradation II', 0.53)"
Vasopressin-regulated water reabsorption,"('ferulate and sinapate biosynthesis', 0.51)","('iron reduction and absorption', 0.49)","('sulfate activation for sulfonation', 0.49)","('propanoate fermentation to 2-methylbutanoate', 0.48)","('tea aroma glycosidic precursor bioactivation', 0.48)"
Aldosterone-regulated sodium reabsorption,"('pyruvate fermentation to acetone', 0.58)","('gallate degradation III (anaerobic)', 0.51)","('pyruvate fermentation to butanoate', 0.51)","('pyruvate fermentation to acetate VI', 0.5)","('glutathione-glutaredoxin redox reactions', 0.49)"
Endocrine and other factor-regulated calcium reabsorption,"('pyruvate fermentation to acetone', 0.49)","('pyruvate fermentation to butanol II (engineered)', 0.49)","('lipoate biosynthesis and incorporation III (Bacillus)', 0.48)","('bacimethrin and bacimethrin pyrophosphate biosynthesis', 0.47)","('glutathione-glutaredoxin redox reactions', 0.47)"
Proximal tubule bicarbonate reclamation,"('L-ascorbate degradation II (bacterial, aerobic)', 0.58)","('L-ascorbate degradation I (bacterial, anaerobic)', 0.57)","('methanol oxidation to carbon dioxide', 0.56)","('arsenate detoxification I', 0.53)","('arsenate detoxification V', 0.53)"
Collecting duct acid secretion,"('chlorogenic acid degradation', 0.59)","('autoinducer AI-2 degradation', 0.55)","('acetoin degradation', 0.53)","('aniline degradation', 0.53)","('cyanuric acid degradation I', 0.53)"
Glutamatergic synapse,"('TCA cycle V (2-oxoglutarate synthase)', 0.54)","('styrene degradation', 0.5)","('asperlicin E biosynthesis', 0.48)","('L-glutamate degradation I', 0.48)","('L-glutamate biosynthesis I', 0.47)"
GABAergic synapse,"('GABA shunt I', 0.55)","('GABA shunt II', 0.53)","('syringate degradation', 0.53)","('asperlicin E biosynthesis', 0.52)","('gondoate biosynthesis (anaerobic)', 0.5)"
Cholinergic synapse,"('cobalamin salvage (eukaryotic)', 0.55)","('choline degradation I', 0.5)","('choline-<i>O</i>-sulfate degradation', 0.5)","('tRNA charging', 0.5)","('acinetoferrin biosynthesis', 0.49)"
Dopaminergic synapse,"('cobalamin salvage (eukaryotic)', 0.54)","('adenosylcobalamin biosynthesis II (aerobic)', 0.49)","('acinetoferrin biosynthesis', 0.48)","('adenosylcobalamin biosynthesis I (anaerobic)', 0.48)","('anditomin biosynthesis', 0.48)"
Serotonergic synapse,"('syringate degradation', 0.54)","('styrene degradation', 0.51)","('ricinine degradation', 0.5)","('asperlicin E biosynthesis', 0.49)","('itaconate degradation', 0.49)"
Long-term potentiation,"('nitrifier denitrification', 0.55)","('photorespiration I', 0.55)","('protein ubiquitination', 0.55)","('photorespiration II', 0.54)","('photosynthesis light reactions', 0.54)"
Long-term depression,"('tRNA processing', 0.63)","('L-gulonate degradation', 0.57)","('L-lyxonate degradation', 0.57)","('mevalonate degradation', 0.57)","('D-gluconate degradation', 0.56)"
Retrograde endocannabinoid signaling,"('D-arabinose degradation II', 0.52)","('D-arabinitol degradation II', 0.51)","('D-arabinose degradation III', 0.51)","('D-arabinose degradation I', 0.49)","('L-arabinose degradation I', 0.49)"
Synaptic vesicle cycle,"('NAD salvage pathway I (PNC VI cycle)', 0.54)","('CDP-ascarylose biosynthesis', 0.53)","('glyoxylate cycle', 0.53)","('TCA cycle I (prokaryotic)', 0.53)","('versicolorin B biosynthesis', 0.53)"
Neurotrophin signaling pathway,"('farnesylcysteine salvage pathway', 0.58)","('Arg/N-end rule pathway (eukaryotic)', 0.57)","('nicotinate riboside salvage pathway I', 0.57)","('NAD salvage pathway III (to nicotinamide riboside)', 0.49)","('superpathway of taurine degradation', 0.49)"
Phototransduction,"('chlorate reduction', 0.63)","('perchlorate reduction', 0.63)","('photorespiration I', 0.63)","('photorespiration II', 0.61)","('photorespiration III', 0.59)"
Phototransduction - fly,"('photorespiration I', 0.62)","('photorespiration II', 0.6)","('photorespiration III', 0.59)","('photosynthesis light reactions', 0.59)","('chlorate reduction', 0.56)"
Olfactory transduction,"('nitrate reduction V (assimilatory)', 0.63)","('nitrate reduction II (assimilatory)', 0.62)","('nitrate reduction VI (assimilatory)', 0.62)","('folate transformations I', 0.61)","('nitrate reduction IV (dissimilatory)', 0.61)"
Taste transduction,"('chlorate reduction', 0.67)","('citrate degradation', 0.65)","('folate transformations I', 0.62)","('perchlorate reduction', 0.62)","('butane degradation', 0.61)"
Inflammatory mediator regulation of TRP channels,"('nitrate reduction V (assimilatory)', 0.5)","('nitrate reduction VI (assimilatory)', 0.49)","('assimilatory sulfate reduction I', 0.48)","('chlorinated phenols degradation', 0.48)","('superpathway of L-alanine fermentation (Stickland reaction)', 0.48)"
Dorso-ventral axis formation,"('mixed acid fermentation', 0.55)","('periplasmic disulfide bond formation', 0.53)","('L-arabinose degradation IV', 0.52)","('<i>cis</i>-geranyl-CoA degradation', 0.51)","('resveratrol degradation', 0.51)"
Axon guidance,"('glycine degradation', 0.5)","('glucosinolate activation', 0.49)","('glucose degradation (oxidative)', 0.48)","('polymyxin resistance', 0.48)","('ammonia oxidation III', 0.47)"
Axon regeneration,"('acetoin degradation', 0.67)","('butane degradation', 0.63)","('agarose degradation', 0.61)","('aniline degradation', 0.61)","('cyanate degradation', 0.61)"
Osteoclast differentiation,"('heterolactic fermentation', 0.71)","('homolactic fermentation', 0.69)","('mixed acid fermentation', 0.57)","('gellan degradation', 0.55)","('L-glucose degradation', 0.55)"
Longevity regulating pathway,"('Ac/N-end rule pathway', 0.53)","('mevalonate pathway III (Thermoplasma)', 0.51)","('phytochelatins biosynthesis', 0.51)","('thioredoxin pathway', 0.51)","('patulin biosynthesis', 0.5)"
Longevity regulating pathway - worm,"('mevalonate pathway III (Thermoplasma)', 0.5)","('Entner-Doudoroff pathway III (semi-phosphorylative)', 0.49)","('Ac/N-end rule pathway', 0.48)","('methyl-coenzyme M reduction to methane', 0.48)","('glutathione-glutaredoxin redox reactions', 0.47)"
Longevity regulating pathway - multiple species,"('Entner-Doudoroff pathway III (semi-phosphorylative)', 0.49)","('blood coagulation - tissue factor pathway', 0.48)","('nicotine degradation I (pyridine pathway)', 0.48)","('nicotine degradation II (pyrrolidine pathway)', 0.48)","('superpathway of trichothecene biosynthesis', 0.48)"
Circadian rhythm,"('phytol degradation', 0.53)","('thymine degradation', 0.51)","('erythritol degradation I', 0.5)","('actinorhodin biosynthesis', 0.49)","('apicidin biosynthesis', 0.49)"
Circadian entrainment,"('ectoine degradation', 0.55)","('serine racemization', 0.55)","('tetrathionate oxidation', 0.55)","('D-serine degradation', 0.54)","('L-serine degradation', 0.54)"
Circadian rhythm - fly,"('L-rhamnose degradation I', 0.5)","('L-rhamnose degradation II', 0.49)","('phytate degradation I', 0.49)","('L-rhamnose degradation III', 0.48)","('L-threitol degradation', 0.48)"
Circadian rhythm - plant,"('rutin degradation (plants)', 0.61)","('parathion degradation', 0.51)","('ellagic acid degradation to urolithins', 0.5)","('phytol degradation', 0.5)","('thymine degradation', 0.49)"
Thermogenesis,"('ketogenesis', 0.75)","('gluconeogenesis I', 0.6)","('methanogenesis from dimethylamine', 0.57)","('gluconeogenesis III', 0.56)","('methanogenesis from dimethylsulfide', 0.54)"
Plant-pathogen interaction,"('caffeine degradation I (main, plants)', 0.6)","('parathion degradation', 0.6)","('diphenylamine degradation', 0.59)","('ethene biosynthesis I (plants)', 0.59)","('gellan degradation', 0.59)"
Pathways in cancer,"('Ac/N-end rule pathway', 0.62)","('mevalonate pathway IV (archaea)', 0.6)","('Entner-Doudoroff pathway I', 0.59)","('NAD salvage pathway I (PNC VI cycle)', 0.58)","('NAD salvage pathway II (PNC IV cycle)', 0.57)"
Transcriptional misregulation in cancer,"('tRNA-uridine 2-thiolation and selenation (bacteria)', 0.55)","('caffeine degradation II', 0.52)","('carbon tetrachloride degradation I', 0.52)","('geraniol and nerol degradation', 0.52)","('L-canavanine degradation II', 0.52)"
MicroRNAs in cancer,"('mRNA capping I', 0.61)","('mRNA capping II', 0.59)","('tRNA charging', 0.56)","('acacetin biosynthesis', 0.55)","('daphnetin modification', 0.54)"
Proteoglycans in cancer,"('protein <I>N</i>-glycosylation (<i>Haloferax volcanii</i>)', 0.52)","('TCA cycle I (prokaryotic)', 0.52)","('citrate lyase activation', 0.51)","('acacetin biosynthesis', 0.5)","('branched-chain polyamines biosynthesis', 0.49)"
Chemical carcinogenesis - DNA adducts,"('L-arginine biosynthesis II (acetyl cycle)', 0.51)","('arctigenin and isoarctigenin biosynthesis', 0.5)","('gluconeogenesis I', 0.5)","('5-<i>N</i>-acetylardeemin biosynthesis', 0.49)","('gluconeogenesis III', 0.48)"
Chemical carcinogenesis - receptor activation,"('malonate decarboxylase activation', 0.55)","('indole glucosinolate activation (herbivore attack)', 0.53)","('tea aroma glycosidic precursor bioactivation', 0.53)","('indole glucosinolate activation (intact plant cell)', 0.5)","('methanogenesis from acetate', 0.49)"
Chemical carcinogenesis - reactive oxygen species,"('reactive oxygen species degradation', 0.66)","('chlorogenic acid biosynthesis II', 0.48)","('cis-calamenene related sesquiterpenoids biosynthesis', 0.48)","('docosahexaenoate metabolites biosynthesis', 0.48)","('icosapentaenoate metabolites biosynthesis', 0.48)"
Viral carcinogenesis,"('gluconeogenesis I', 0.65)","('gluconeogenesis III', 0.62)","('archaeosine biosynthesis I', 0.57)","('archaeosine biosynthesis II', 0.55)","('L-alanine biosynthesis I', 0.55)"
Central carbon metabolism in cancer,"('coniferin metabolism', 0.62)","('anaerobic energy metabolism (invertebrates, cytosol)', 0.6)","('cyanophycin metabolism', 0.6)","('alliin metabolism', 0.58)","('baicalein metabolism', 0.58)"
Choline metabolism in cancer,"('alliin metabolism', 0.71)","('coniferin metabolism', 0.71)","('ethiin metabolism', 0.71)","('cyanophycin metabolism', 0.68)","('baicalein metabolism', 0.67)"
PD-L1 expression and PD-1 checkpoint pathway in cancer,"('mevalonate pathway I (eukaryotes and bacteria)', 0.49)","('superpathway of <i>N</i>-acetylneuraminate degradation', 0.48)","('nicotine degradation III (VPP pathway)', 0.47)","('L-arginine degradation II (AST pathway)', 0.46)","('superpathway of bacteriochlorophyll <i>a</i> biosynthesis', 0.46)"
Colorectal cancer,"('coral bioluminescence', 0.53)","('urea cycle', 0.52)","('triclosan resistance', 0.49)","('ascorbate recycling (cytosolic)', 0.48)","('perchlorate reduction', 0.47)"
Pancreatic cancer,"('urea cycle', 0.52)","('cyanate degradation', 0.5)","('cyanide degradation', 0.5)","('TCA cycle I (prokaryotic)', 0.5)","('octane oxidation', 0.48)"
Hepatocellular carcinom,"('curcumin degradation', 0.47)","('L-arabinose degradation I', 0.46)","('L-arabinose degradation V', 0.46)","('L-carnitine degradation I', 0.46)","('arsenate reduction (respiratory)', 0.45)"
Gastric cancer,"('octane oxidation', 0.53)","('triclosan resistance', 0.53)","('VTC2 cycle', 0.5)","('autoinducer AI-2 degradation', 0.48)","('cyanate degradation', 0.48)"
Gliom,"('galena oxidation', 0.38)","('alliin metabolism', 0.36)","('heme degradation I', 0.35)","('heme degradation V', 0.35)","('glycolysis IV', 0.33)"
Thyroid cancer,"('octane oxidation', 0.53)","('thyroid hormone biosynthesis', 0.52)","('ethionamide activation', 0.5)","('acyl-CoA hydrolysis', 0.48)","('hydrogen oxidation I (aerobic)', 0.48)"
Acute myeloid leukemi,"('baicalein metabolism', 0.49)","('methanogenesis from acetate', 0.46)","('melatonin degradation I', 0.45)","('folate polyglutamylation', 0.44)","('melatonin degradation II', 0.44)"
Chronic myeloid leukemi,"('coniferin metabolism', 0.51)","('baicalein metabolism', 0.47)","('L-isoleucine degradation I', 0.45)","('<i>N</i>-methylpyrrolidone degradation', 0.45)","('acrylonitrile degradation I', 0.44)"
Basal cell carcinom,"('Calvin-Benson-Bassham cycle', 0.52)","('L-carnitine biosynthesis', 0.47)","('orcinol degradation', 0.47)","('carnosate bioynthesis', 0.45)","('carminate biosynthesis', 0.44)"
Melanom,"('sphingomyelin metabolism', 0.39)","('mannitol cycle', 0.38)","('oleandomycin biosynthesis', 0.38)","('protein NEDDylation', 0.38)","('melamine degradation', 0.37)"
Renal cell carcinom,"('tRNA charging', 0.56)","('selenate reduction', 0.49)","('L-threonate degradation', 0.48)","('mRNA capping I', 0.48)","('carotenoid cleavage', 0.47)"
Bladder cancer,"('glycine cleavage', 0.47)","('bacterial bioluminescence', 0.46)","('coral bioluminescence', 0.46)","('D-alanine degradation', 0.46)","('Calvin-Benson-Bassham cycle', 0.44)"
Prostate cancer,"('glyoxylate cycle', 0.52)","('octane oxidation', 0.52)","('3-hydroxypropanoate cycle', 0.5)","('acacetin biosynthesis', 0.5)","('phosphate acquisition', 0.5)"
Endometrial cancer,"('extended VTC2 cycle', 0.49)","('coniferin metabolism', 0.47)","('triclosan resistance', 0.47)","('methylaspartate cycle', 0.46)","('botrydial biosynthesis', 0.45)"
Breast cancer,"('triclosan resistance', 0.55)","('&beta;-carotene biosynthesis', 0.51)","('beta-carboline biosynthesis', 0.5)","('tetracycline resistance', 0.5)","('calonectrin biosynthesis', 0.49)"
Small cell lung cancer,"('TCA cycle II (plants and fungi)', 0.47)","('L-methionine salvage cycle I (bacteria and plants)', 0.46)","('fungal bioluminescence', 0.45)","('coniferin metabolism', 0.43)","('cytidylyl molybdenum cofactor sulfurylation', 0.43)"
Non-small cell lung cancer,"('TCA cycle II (plants and fungi)', 0.47)","('indole glucosinolate activation (intact plant cell)', 0.45)","('gallate degradation III (anaerobic)', 0.44)","('cellulose and hemicellulose degradation (cellulolosome)', 0.43)","('L-methionine salvage cycle I (bacteria and plants)', 0.43)"
Human T-cell leukemia virus 1 infection,"('indole-3-acetate inactivation VI', 0.51)","('indole-3-acetate inactivation VII', 0.5)","('indole-3-acetate inactivation V', 0.49)","('indole-3-acetate inactivation VIII', 0.49)","('indole-3-acetate inactivation VIII', 0.49)"
Human immunodeficiency virus 1 infection,"('cyanide detoxification I', 0.44)","('indole-3-acetate inactivation III', 0.44)","('lipoate biosynthesis and incorporation IV (yeast)', 0.44)","('nitrate reduction VI (assimilatory)', 0.44)","('nitrate reduction VII (denitrification)', 0.44)"
Hepatitis B,"('photorespiration I', 0.48)","('photorespiration II', 0.47)","('(+)-pisatin biosynthesis', 0.45)","('adipate biosynthesis', 0.45)","('patulin biosynthesis', 0.45)"
Hepatitis C,"('photorespiration I', 0.48)","('CMP phosphorylation', 0.47)","('photorespiration II', 0.47)","('adipate biosynthesis', 0.45)","('photorespiration III', 0.45)"
Coronavirus disease - COVID-19,"('carotenoid cleavage', 0.47)","('crocetin esters biosynthesis', 0.43)","('isoprene biosynthesis I', 0.43)","('thiamine diphosphate biosynthesis I (E. coli)', 0.43)","(""cytidine-5'-diphosphate-glycerol biosynthesis"", 0.42)"
Influenza A,"('fluorene degradation I', 0.42)","('tRNA charging', 0.42)","('4-nitrotoluene degradation I', 0.41)","('fluorene degradation II', 0.41)","('inulin degradation', 0.41)"
Measles,"('methiin metabolism', 0.4)","('polyphosphate metabolism', 0.39)","('acetan biosynthesis', 0.38)","('ketolysis', 0.38)","('phospholipases', 0.38)"
Herpes simplex virus 1 infection,"('indole-3-acetate inactivation VI', 0.56)","('indole-3-acetate inactivation VII', 0.55)","('indole-3-acetate inactivation VIII', 0.55)","('indole-3-acetate inactivation VIII', 0.55)","('indole-3-acetate inactivation V', 0.54)"
Human cytomegalovirus infection,"('daidzein conjugates interconversion', 0.48)","('senecionine N-oxide biosynthesis', 0.48)","('thiamine triphosphate metabolism', 0.48)","('alanine racemization', 0.47)","('mannosylfructose biosynthesis', 0.47)"
Kaposi sarcoma-associated herpesvirus infection,"('rosmarinic acid biosynthesis II', 0.49)","('pyruvate fermentation to acetate I', 0.47)","('rosmarinic acid biosynthesis I', 0.47)","('arsenate detoxification IV (mycothiol)', 0.46)","('fatty acid elongation -- saturated', 0.46)"
Epstein-Barr virus infection,"('arsenate detoxification I', 0.53)","('arsenate detoxification V', 0.53)","('iron reduction and absorption', 0.53)","('arsenate detoxification II', 0.52)","('arsenate reduction (respiratory)', 0.52)"
Human papillomavirus infection,"('vanillin and vanillate degradation I', 0.48)","('vanillin and vanillate degradation II', 0.48)","('arsenic detoxification (mammals)', 0.47)","('arsenic detoxification (plants)', 0.47)","('cyanide detoxification II', 0.47)"
Vibrio cholerae infection,"('chitin degradation II (Vibrio)', 0.6)","('chlorate reduction', 0.6)","('choline degradation II', 0.6)","('lipid A modification (glycine addition, <i>Vibrio cholerae</i>)', 0.59)","('choline degradation III', 0.58)"
Epithelial cell signaling in Helicobacter pylori infection,"('<i>Helicobacter pylori</i> 26695 lipopolysaccharide biosynthesis (final steps)', 0.53)","('L-phenylalanine degradation VI (reductive Stickland reaction)', 0.46)","('<i>bis</i>(tungstenpterin) cofactor biosynthesis', 0.45)","('peptido-conjugates in tissue regeneration biosynthesis', 0.45)","('cob(II)yrinate <i>a,c</i>-diamide biosynthesis I (early cobalt insertion)', 0.44)"
Pathogenic Escherichia coli infection,"('thiamine triphosphate metabolism', 0.49)","('choline degradation I', 0.48)","('dinoflagellate bioluminescence', 0.48)","('parathion degradation', 0.48)","('chlorinated phenols degradation', 0.47)"
Salmonella infection,"('salmochelin degradation', 0.6)","('selenate reduction', 0.58)","('jasmonoyl-L-isoleucine inactivation', 0.55)","('histamine degradation', 0.54)","('gellan degradation', 0.53)"
Shigellosis,"('ginsenosides biosynthesis', 0.5)","('glycolysis IV', 0.5)","('ketolysis', 0.5)","('cellulose biosynthesis', 0.48)","('elloramycin biosynthesis', 0.46)"
Yersinia infection,"('selenate reduction', 0.56)","('syringate degradation', 0.56)","('acinetobactin biosynthesis', 0.55)","('daphnin interconversion', 0.54)","('glycerol degradation II', 0.54)"
Pertussis,"('ketolysis', 0.56)","('ketogenesis', 0.5)","('asterrate biosynthesis', 0.45)","('aerobactin biosynthesis', 0.44)","('betulinate biosynthesis', 0.44)"
Legionellosis,"('ketogenesis', 0.58)","('aloenin biosynthesis', 0.55)","('L-lyxose degradation', 0.55)","('aflatrem biosynthesis', 0.53)","('alkane biosynthesis I', 0.53)"
Staphylococcus aureus infection,"('peptidoglycan biosynthesis II (staphylococci)', 0.59)","('methylarsonous acid detoxification I', 0.54)","('methylarsonous acid detoxification II', 0.53)","('methylarsonous acid detoxification III', 0.52)","('thiamine diphosphate biosynthesis III (Staphylococcus)', 0.51)"
Tuberculosis,"('1-tuberculosinyladenosine biosynthesis', 0.48)","('ketolysis', 0.48)","('bacterioruberin biosynthesis', 0.45)","('triclosan resistance', 0.44)","('ATP biosynthesis', 0.43)"
Bacterial invasion of epithelial cells,"('arsenite methylation (bacterial)', 0.53)","('hopanoid biosynthesis (bacteria)', 0.53)","('nitric oxide biosynthesis III (bacteria)', 0.53)","('chondroitin sulfate degradation I (bacterial)', 0.52)","('bacillithiol biosynthesis', 0.51)"
Amoebiasis,"('aurone biosynthesis', 0.55)","('aloenin biosynthesis', 0.53)","('androgen biosynthesis', 0.52)","('aloin biosynthesis', 0.5)","('bergamotene biosynthesis I', 0.5)"
Malari,"('acyl-CoA hydrolysis', 0.4)","('alanine racemization', 0.38)","('alginate degradation', 0.38)","('tricetin methylation', 0.38)","('aflatrem biosynthesis', 0.37)"
Toxoplasmosis,"('ketolysis', 0.55)","('pinosylvin metabolism', 0.47)","('wogonin metabolism', 0.45)","('phospholipases', 0.44)","('plasmalogen degradation', 0.44)"
Leishmaniasis,"('aflatrem biosynthesis', 0.47)","('acetan biosynthesis', 0.44)","('aurone biosynthesis', 0.44)","('betulinate biosynthesis', 0.44)","('mannitol cycle', 0.44)"
Chagas disease,"('isethionate degradation', 0.43)","('phospholipases', 0.43)","('agarose degradation', 0.42)","('stearate biosynthesis IV', 0.42)","('chitin deacetylation', 0.41)"
African trypanosomiasis,"('baicalein metabolism', 0.51)","('acetan biosynthesis', 0.48)","('alanine racemization', 0.47)","('anthocyanin biosynthesis', 0.47)","('arginomycin biosynthesis', 0.47)"
Asthm,"('ATP biosynthesis', 0.38)","('heme <i>a</i> biosynthesis', 0.36)","('aloin biosynthesis', 0.35)","('GABA shunt I', 0.35)","('heme degradation I', 0.35)"
Systemic lupus erythematosus,"('lutein biosynthesis', 0.51)","('calystegine biosynthesis', 0.5)","('L-lysine biosynthesis VI', 0.5)","('L-selenocysteine biosynthesis I (bacteria)', 0.5)","('lupinate biosynthesis', 0.49)"
Rheumatoid arthritis,"('chitin degradation I (archaea)', 0.5)","('curcuminoid biosynthesis', 0.5)","('rhamnolipid biosynthesis', 0.5)","('astaxanthin dirhamnoside biosynthesis', 0.49)","('creatine biosynthesis', 0.49)"
Autoimmune thyroid disease,"('dimethyl sulfoxide degradation', 0.5)","('chitin deacetylation', 0.48)","('thyroid hormone biosynthesis', 0.48)","('thyroid hormone metabolism I (via deiodination)', 0.48)","('thyronamine and iodothyronamine metabolism', 0.47)"
Inflammatory bowel disease,"('sinapate ester biosynthesis', 0.53)","('linamarin biosynthesis', 0.5)","('palmitoyl ethanolamide biosynthesis', 0.49)","('folate transformations I', 0.48)","('cinnamate esters biosynthesis', 0.47)"
Allograft rejection,"('chlorate reduction', 0.7)","('perchlorate reduction', 0.65)","('D-allose degradation', 0.56)","('nitrate reduction V (assimilatory)', 0.55)","('nitrate reduction II (assimilatory)', 0.54)"
Graft-versus-host disease,"('adipate biosynthesis', 0.49)","('glyphosate degradation I', 0.49)","('starch degradation V', 0.49)","('glyphosate degradation II', 0.48)","('histamine degradation', 0.48)"
Primary immunodeficiency,"('coral bioluminescence', 0.49)","('squid bioluminescence', 0.44)","('fungal bioluminescence', 0.43)","('arsenic detoxification (plants)', 0.42)","('cyanide detoxification I', 0.42)"
Alzheimer disease,"('stellariose and mediose biosynthesis', 0.49)","('bile acids epimerization', 0.44)","('aldoxime degradation', 0.43)","('baicalein metabolism', 0.43)","('all-<i>trans</i>-decaprenyl diphosphate biosynthesis', 0.42)"
Parkinson disease,"('adipate degradation', 0.5)","('manganese oxidation I', 0.47)","('parathion degradation', 0.47)","('manganese oxidation II', 0.46)","('pyrimidine nucleobases salvage I', 0.45)"
Amyotrophic lateral sclerosis,"('aminopropylcadaverine biosynthesis', 0.51)","('atrazine degradation I (aerobic)', 0.51)","('daphnin interconversion', 0.5)","('chlorophyll cycle', 0.48)","('labdenediol and sclareol biosynthesis', 0.48)"
Huntington disease,"('adipate degradation', 0.49)","('ectoine degradation', 0.49)","('methane oxidation to methanol I', 0.49)","('xanthine and xanthosine salvage', 0.49)","('chitin degradation I (archaea)', 0.48)"
Spinocerebellar ataxi,"('pinoresinol degradation', 0.5)","('sphingomyelin metabolism', 0.49)","('phosphonoacetate degradation', 0.45)","('glucosinolate activation', 0.44)","('isoprene degradation', 0.44)"
Prion disease,"('adipate degradation', 0.56)","('triclosan resistance', 0.55)","('agarose degradation', 0.5)","('citrate degradation', 0.5)","('bile acids epimerization', 0.49)"
Pathways of neurodegeneration - multiple diseases,"('L-arginine degradation I (arginase pathway)', 0.59)","('superpathway of acrylonitrile degradation', 0.59)","('L-arginine degradation VI (arginase 2 pathway)', 0.57)","('L-arginine degradation VII (arginase 3 pathway)', 0.57)","('L-arginine degradation II (AST pathway)', 0.55)"
Cocaine addiction,"('ectoine degradation', 0.67)","('dopamine degradation', 0.65)","('nopaline degradation', 0.65)","('octopine degradation', 0.65)","('nicotine degradation V', 0.62)"
Amphetamine addiction,"('melamine degradation', 0.68)","('histamine degradation', 0.67)","('diphenylamine degradation', 0.65)","('methylamine degradation I', 0.65)","('methylamine degradation II', 0.64)"
Morphine addiction,"('homotaurine degradation', 0.63)","('nopaline degradation', 0.63)","('octopine degradation', 0.63)","('morphine biosynthesis', 0.62)","('porphyran degradation', 0.62)"
Nicotine addiction,"('nicotine degradation V', 0.75)","('nicotine degradation IV', 0.73)","('nicotinate degradation I', 0.71)","('nicotinate degradation II', 0.7)","('nicotinate degradation III', 0.68)"
Alcoholism,"('acyl-CoA hydrolysis', 0.62)","('alliin metabolism', 0.52)","('glycolysis IV', 0.52)","(""6'-deoxychalcone metabolism"", 0.5)","('phospholipases', 0.5)"
Lipid and atherosclerosis,"('purine deoxyribonucleosides degradation I', 0.55)","('purine deoxyribonucleosides degradation II', 0.54)","('lipoxin biosynthesis', 0.53)","('pyrimidine deoxyribonucleosides degradation', 0.53)","('rhamnolipid biosynthesis', 0.53)"
Fluid shear stress and atherosclerosis,"('stearate biosynthesis I (animals)', 0.52)","('stearate biosynthesis III (fungi)', 0.52)","('stearate biosynthesis IV', 0.52)","('stellariose and mediose biosynthesis', 0.51)","('serotonin and melatonin biosynthesis', 0.49)"
Hypertrophic cardiomyopathy,"('hypericin biosynthesis', 0.53)","('L-tryptophan degradation V (side chain pathway)', 0.5)","('pentose phosphate pathway (partial)', 0.5)","('adipate degradation', 0.48)","('hyperforin and adhyperforin biosynthesis', 0.48)"
Arrhythmogenic right ventricular cardiomyopathy,"('acyl-[acyl-carrier protein] thioesterase pathway', 0.45)","('very long chain fatty acid biosynthesis I', 0.45)","('very long chain fatty acid biosynthesis II', 0.45)","('&beta;-caryophyllene biosynthesis', 0.44)","('chorismate biosynthesis II (archaea)', 0.44)"
Dilated cardiomyopathy,"('orthanilate degradation', 0.53)","('methylsalicylate degradation', 0.52)","('methylsalicylate degradation', 0.52)","('dipicolinate biosynthesis', 0.51)","('methylgallate degradation', 0.51)"
Diabetic cardiomyopathy,"('dehydroabietic acid biosynthesis', 0.55)","('neoabietic acid biosynthesis', 0.55)","('adipate degradation', 0.52)","('diazepinomicin biosynthesis', 0.48)","('stellatic acid biosynthesis', 0.48)"
Viral myocarditis,"('propanoyl CoA degradation I', 0.5)","('propanoyl-CoA degradation II', 0.49)","('the visual cycle (insects)', 0.49)","('L-carnitine degradation I', 0.48)","('L-carnitine degradation II', 0.47)"
Type II diabetes mellitus,"('2-methylcitrate cycle II', 0.49)","('mevalonate pathway I (eukaryotes and bacteria)', 0.49)","('the visual cycle II (molluscs)', 0.49)","('ethiin metabolism', 0.48)","('fatty acid biosynthesis initiation (type II)', 0.48)"
